デポ納入先,顧客コード,納入先,納入便
トヨタ自動車,Y01680,カリツー豊田西デポ,カリツー2便
トヨタ自動車,Y01680,カリツー田原デポ,カリツー3便
㈱三菱ロジコム,Y02437,三菱東山名和デポ,カリツー3便
ロジコム岡山,Y02437,三菱東山名和デポ,カリツー3便
三菱自動車工業,Y02585,三菱東山名和デポ,カリツー3便
本田技研工業(株),Y02407, 日陸鈴鹿デポ,カリツー4便
ダイハツ工業,Y01435,カリツー大阪デポ,カリツー5便
㈱日産ロジコム,Y02010,三菱東山名和デポ,カリツー3便
東山株式会社 名和デポ（MMC岡崎）,Y00106,三菱東山名和デポ,カリツー3便
トヨタ車体㈱,Y00139,カリツー豊田西デポ,カリツー2便
