品目コード,品目名称,箱種,品目名称_2
67034,Y86101-78240-A,,
67035,Y86101-78260-A,,
67036,Y86101-78270-A,,
67037,Y86101-78280-A,,
67039,Y86101-78300,,
67040,Y86101-78310-A,,
67041,Y86101-78330-A,,
67042,Y86101-78350-A,,
67043,Y86101-78360,,
67044,Y86101-78370-A,,
67045,Y86101-78390-A,,
67046,Y86101-78410-A,,
67047,Y86101-78420-A,,
67048,Y86101-78430-A,,
67049,Y86101-78440-A,,
67050,Y86101-78460-A,,
67051,Y86101-78500-A,,
67052,Y86101-78510-A,,
67053,Y86101-78540-A,,
67054,Y86101-78550-A,,
67055,Y86101-78570-A,,
67056,Y86101-78580-A,,
67057,Y86101-78590-A,,
67058,Y86101-78600-A,,
67090,86101-62060,,
67091,86705-62010,,
67207,Y82824-78110,,
67524,86101-62170-A,,
67527,39156-TDE-J010-M1,,
67528,39156-TDE-J110-M1,,
67529,39160-TDE-J010-M1,,
67530,39160-TDE-J110-M1,,
67619,39156-TDJ-J010-M1,,
67620,39160-TDJ-J010-M1,,
67625,86159-B2200-K,,
67627,86159-B2240-K,,
67758,39156-TY0-J320-M1,,
67780,S39160-T5A-J012-M1,,
67781,S39160-T5A-J113-M1,,
67857,Y86101-33E90,,
67858,Y86101-33F00,,
67859,Y86101-62060,,
67860,Y86101-62170-A,,
67861,Y86705-62010,,
68094,39156-T4G-J112-M1,,
68167,86101-42790-A,,
68168,86101-42800-A,,
68169,86101-42810-A,,
68170,86101-42820-A,,
68190,86300-60850-A,,
68191,86300-60860-A,,
68192,86300-60870-B,,
68193,86300-60880-B,,
68230,39156-TY7-J120-M1-1,,
68262,86159-B2210-K,,
68263,86159-B2250-K,,
68277,39584-T4G-J010-Y1,,
68279,39156-T6G-J220-M1-1,,
68337,39156-T4G-J220-M1-1,,
68338,39156-T4G-J310-M1-1,,
68339,39160-T4G-J210-M1-1,,
68340,39160-T4G-J310-M1-1,,
68370,Y86101-42790-A,,
68371,Y86101-42800-A,,
68372,Y86101-42810-A,,
68373,Y86101-42820-A,,
68378,Y86300-60850-A,,
68379,Y86300-60860-A,,
68380,Y86300-60870-B,,
68381,Y86300-60880-B,,
68389,86316-B2750-B,,
68434,Y86300-75020-C,,
68459,86159-B2310-K,,
68460,86159-B2320-L,,
68490,39584-TY0-J012-Y1,,
69090,39836-T3V-J021-Y1,,
69091,39836-T3V-J110-Y1,,
69238,86101-11310,,
69242,86101-11330,,
69247,86101-11410,,
69248,86101-11390,,
69249,86101-11020,,
69270,39584-T6G-J011-Y1,,
69271,39160-T6G-J120-M1-1,,
69272,39160-T6G-J220-M1-1,,
69276,86159-B2440,,
69277,86159-B2450,,
69378,S39156-T5R-A012-M1,,
69382,S39160-T5R-A213-M1,,
69481,39584-TDE-J011-Y1,,
69516,K86101-78730,,
69517,K86101-78740,,
69519,K86101-78760,,
69649,86101-11360-A,,
69650,86101-11370-A,,
69651,86101-11380-A,,
69721,86159-B2370-J,,
69722,86159-B2430-J,,
69723,86316-B2780-J,,
69724,86316-B2790-J,,
69766,Y86101-78720,,
69767,Y86101-78730,,
69768,Y86101-78740,,
69769,Y86101-78750,,
69770,Y86101-78760,,
69771,Y86101-78770,,
69772,Y86101-78790,,
69773,Y86101-78800,,
69828,Y86101-11310,,
69830,Y86101-11330,,
69831,Y86101-11360-A,,
69832,Y86101-11370-A,,
69833,Y86101-11380-A,,
69835,Y86101-11410,,
69837,Y86681-33030,,
69851,39164-TLA-A011-Y1,,
69852,39166-TLA-A011-Y1,,
69885,86101-11420-B,,
69907,86101-11400-A,,
69923,86101-11040-B,,
69924,86101-11050-B,,
69925,86101-11060-B,,
69926,86101-11080-B,,
69927,86101-11090-B,,
70007,39584-TTA-J010-Y1,,
70015,86159-B2410-J,,
70019,39156-TTA-J110-M1,,
70024,86101-11110-B,,
70025,86101-11120-A,,
70026,86101-11140-A,,
70027,86101-11150-A,,
70028,86101-11170-A,,
70029,86101-11180-B,,
70030,86101-11190-A,,
70031,86101-11200-A,,
70032,86101-11230-B,,
70033,86101-11430-A,,
70042,86101-11320-A,,
70079,C86681-42020-B,,
70080,Y86681-42020-B,,
70178,8723A438-1,,
70189,86681-71030-B,,
70221,Y86101-11040-B,,
70222,Y86101-11050-B,,
70223,Y86101-11060-B,,
70224,Y86101-11080-B,,
70225,Y86101-11090-B,,
70226,Y86101-11110-B,,
70227,Y86101-11120-A,,
70228,Y86101-11140-A,,
70229,Y86101-11150-A,,
70230,Y86101-11170-A,,
70231,Y86101-11180-B,,
70232,Y86101-11190-A,,
70233,Y86101-11200-A,,
70234,Y86101-11230-B,,
70235,Y86101-11320-A,,
70236,Y86101-11390,,
70237,Y86101-11400-A,,
70238,Y86101-11430-A,,
70240,L86681-60220-B,,
70242,Y86681-60220-B,,
70258,86101-42A10-B,,
70259,C86101-42A10-B,,
70260,Y86101-42A10-B,,
70314,86681-60200-B,,
70317,Y86681-60200-B,,
70343,AG00D 73000S,,
70383,39156-TTA-J010-M1-1,,
70384,39160-TTA-J012-M1,,
70418,K86101-78A00,,
70419,K86101-78A40,,
70430,K86101-78B80,,
70432,K86101-78C00,,
70434,86101-78820,,
70518,S39156-T5A-J310-M1-1,,
70573,39515-TLC-R011-Y1,,
70574,39515-TLC-R111-Y1,,
70709,86681-33030-A(SHURYO),,
70711,Y86681-33030-A,,
70997,SWS86808-0K030-A,,
71075,86159-B2230-A,,
71076,86159-B2530-A,,
71086,39584-T4G-J110-Y1,,
71092,Y86101-78810-A,,
71093,Y86101-78830,,
71094,Y86101-78850,,
71095,Y86101-78860,,
71096,Y86101-78870,,
71097,Y86101-78880,,
71098,Y86101-78890,,
71101,Y86101-78A60,,
71102,Y86101-78A70,,
71103,Y86101-78A80,,
71104,Y86101-78A90,,
71105,Y86101-78B00,,
71106,Y86101-78B10,,
71107,Y86101-78B20,,
71108,Y86101-78B30,,
71109,Y86101-78B40,,
71110,Y86101-78B50,,
71111,Y86101-78B80,,
71112,Y86101-78B90,,
71113,Y86101-78C00,,
71115,Y86681-78010,,
71128,86681-30050-B,,
71152,Y86681-30050-B,,
71228,39584-TY0-J01,,
71609,86101-78C50,,
71610,K86101-78C20,,
71636,YS39824-TXM-A114-M1,,
71637,YS39837-TXM-A013-M1,,
71640,39156-TXA-J210-M1,,
71783,86101-10150,,
71934,86101-F4630-A,,
71944,86101-62600-A,,
72000,Y86101-78C20,,
72001,Y86101-78C30,,
72002,Y86101-78C40,,
72014,Y86101-62600-A,,
72189,86101-62061,,
72200,39156-TD4-J011-M1-1,,
72201,39156-TD4-J211-M1-1,,
72202,39156-TD4-J310-M1-1,,
72203,39160-TD4-J011-M1-1,,
72204,39160-TD4-J113-M1,,
72238,86808-26090-A,,
72581,86316-B2810-J,,
72582,86316-B2820-K,,
72586,39156-TAR-E011-M1,,
72587,39156-TAR-G011-M1,,
72588,39160-TAR-E011-M1,,
72589,39160-TAR-G012-M1,,
72590,39160-TAR-G113-M1,,
72591,39156-T5L-T010-M1,,
72667,86705-26010-B,,
72746,86705-26020-A,,
72799,Y86101-62061,,
72804,L82824-78110,,
72805,L86101-78030-A,,
72806,L86101-78040-A,,
72807,L86101-78050-A,,
72808,L86101-78060-B,,
72810,L86101-78090-B,,
72811,L86101-78100-A,,
72812,P86101-78160-A,,
72813,P86101-78170-A,,
72814,P86101-78200-A,,
72815,L86101-78210,,
72816,P86101-78220-A,,
72817,P86101-78260-A,,
72818,P86101-78270-A,,
72819,L86101-78280-A,,
72820,L86101-78300,,
72821,P86101-78350-A,,
72822,L86101-78360,,
72823,P86101-78370-A,,
72824,P86101-78410-A,,
72825,P86101-78420-A,,
72826,L86101-78540-A,,
72827,L86101-78550-A,,
72828,L86101-78590-A,,
72829,L86101-78600-A,,
72830,P86101-78720,,
72831,P86101-78750,,
