品目コード,品目名称,箱種,品目名称_2
78128,Y86101-46250-B,,
78129,Y86101-46260-A,,
78130,Y86101-46270-A,,
78131,Y86101-46280-A,,
78132,Y86101-46290-A,,
78133,Y86101-46300-A,,
78134,Y86101-46310-A,,
78135,Y86101-46330-A,,
78136,Y86101-46350-A,,
78137,Y86101-46360-A,,
78138,Y86101-46370-A,,
78139,Y86101-46380-A,,
78140,Y86101-46390-B,,
78141,Y86101-46400-A,,
78143,Y86101-46420-C,,
78144,Y86101-46430-C,,
78145,Y86101-46440-A,,
78146,Y86101-46450-C,,
78147,Y86101-46460-A,,
78148,Y86101-46470-A,,
78149,Y86101-46480-B,,
78150,Y86101-46490-A,,
78152,Y86101-46510-A,,
78153,Y86101-46520-B,,
78155,Y86101-46540-A,,
78163,Y86101-46620-B,,
78187,L86765-V2010-B,,
78188,86765-V2010-B,,
78233,86705-V2030-C-1,,
78243,86101-46550-C,,
78244,86101-46560-C,,
78245,86101-46570-B,,
78246,86101-46580-B,,
78247,86101-46590-B,,
78248,86101-46600-B,,
78249,86101-46610-B,,
78275,86808-V2040-B-1,,
78276,86808-V2050-B-1,,
78277,86808-V2070-B-1,,
78278,86808-V2080-C,,
78297,86101-46420-D,,
78298,86101-46430-D,,
78360,86705-V2010-C-1,,
78361,86705-V2020-C-1,,
78374,L86101-V2100-B,,
78375,L86101-V2120-B,,
78376,L86101-V2130-B,,
78377,L86101-V2150-B,,
78378,L86101-V2160-B,,
78379,L86101-V2090-B,,
78380,L86101-V2140-B,,
78381,L86101-V2220,,
78382,L86159-V2050-B,,
78383,L86159-V2060-B,,
78384,L86159-V2070-B,,
78385,L86159-V2130-B,,
78386,L86159-V2140-B,,
78387,L86159-V2150-B,,
78388,L86159-V2160-B,,
78389,L86159-V2170-B,,
78390,L86159-V2180-B,,
78391,L86159-V2190-B,,
78392,L86159-V2210-B,,
78393,L86159-V2220,,
78394,L86159-V2230,,
78395,L86159-V2240,,
78396,L86808-V2020-B,,
78397,L86808-V2030-B,,
78398,L86808-V2090,,
78400,L86101-V2110-A-1,,
78401,L86101-V2190-A-1,,
78412,Y86050-42070-A-2,,
78413,Y86050-42080-2,,
78414,Y86050-48150-4,,
78415,Y86050-48190-4,,
78434,S39160-32R-J011-M1-1,,
78442,Y86101-46550-C,,
78443,Y86101-46560-C,,
78444,Y86101-46570-B,,
78445,Y86101-46580-B,,
78446,Y86101-46590-B,,
78447,Y86101-46600-B,,
78448,Y86101-46610-B,,
78451,86159-V2010-B,,
78454,86159-V2080-B,,
78455,86159-V2090-B,,
78458,86159-V2110-B,,
78459,86101-V2020-B-1,,
78460,86101-V2040-B-1,,
78461,86101-V2050-B-1,,
78462,86101-V2060-B-1,,
78463,86101-V2070-B-1,,
78464,86101-V2080-B-1,,
78465,86101-V2230-1,,
78475,L86681-11010-A-1,,
78506,39515-TZA-G21,,
78530,Y86101-11710,,
78531,Y86101-11720,,
78532,Y86101-11730,,
78533,Y86101-11740,,
78534,Y86101-11700,,
78535,Y86101-11860,,
78536,Y86101-11800,,
78537,Y86101-11810,,
78538,Y86101-11820,,
78539,Y86101-11830,,
78540,Y86101-11840,,
78541,Y86101-11850,,
78542,Y86101-11870,,
78543,Y86101-11880,,
78544,Y86101-11890-A,,
78545,Y86101-11A00,,
78546,Y86101-11A10,,
78547,Y86101-11A20,,
78548,Y86101-11A30,,
78549,Y86101-11A40,,
78550,Y86101-11A50,,
78551,Y86101-11A60,,
78552,Y86101-11A70,,
78553,Y86101-11A80,,
78554,Y86101-11A90-A,,
78555,Y86101-11B00,,
78569,Y86101-V2090-B,,
78570,Y86101-V2100-B,,
78571,Y86101-V2110-A-1,,
78572,Y86101-V2120-B,,
78573,Y86101-V2130-B,,
78574,Y86101-V2140-B,,
78575,Y86101-V2150-B,,
78576,Y86101-V2160-B,,
78577,Y86101-V2190-A-1,,
78578,Y86101-V2220,,
78579,Y86159-V2050-B,,
78580,Y86159-V2060-B,,
78581,Y86159-V2070-B,,
78583,Y86159-V2140-B,,
78584,Y86159-V2150-B,,
78585,Y86159-V2160-B,,
78586,Y86159-V2170-B,,
78587,Y86159-V2180-B,,
78588,Y86159-V2190-B,,
78589,Y86159-V2210-B,,
78590,Y86159-V2220,,
78591,Y86159-V2230,,
78592,Y86159-V2240,,
78594,Y86765-V2030-A,,
78595,Y86808-V2010-A,,
78596,Y86808-V2020-B,,
78597,Y86808-V2030-B,,
78598,Y86808-V2090,,
78639,Y86101-V2020-B-1,,
78640,Y86101-V2040-B-1,,
78641,Y86101-V2050-B-1,,
78642,Y86101-V2060-B-1,,
78643,Y86101-V2070-B-1,,
78644,Y86101-V2080-B-1,,
78645,Y86101-V2230-1,,
78646,Y86159-V2010-B,,
78647,Y86159-V2020-C-1,,
78648,Y86159-V2080-B,,
78649,Y86159-V2090-B,,
78650,Y86159-V2100-C-1,,
78651,Y86159-V2110-B,,
78652,Y86808-V2040-B-1,,
78653,Y86808-V2050-B-1,,
78654,Y86808-V2070-B-1,,
78655,Y86808-V2080-C,,
78656,Y86101-V2010,,
78657,Y86765-V2010-B,,
78658,Y86159-V2130-B,,
78668,86101-57040-B,,
78671,S39584-3M0-J111-Y1,,
78687,86101-V3090,,
78688,86101-V3100,,
78689,86101-V3110,,
78690,86101-V3120,,
78691,86101-V3130,,
78692,86101-V3150,,
78693,86101-V3160,,
78694,86101-V3180,,
78695,86101-V3200,,
78696,86101-V3220,,
78697,86101-V3240,,
78698,86994-V3010,,
78703,S39156-32R-J013-M1,,
78726,39160-TDJ-J01,,
78764,S39156-39J-J112-M1,,
78767,S39160-TXA-J220-M1,,
78768,S39156-TXA-JA10-M1,,
78769,S39156-TXA-JB10-M1,,
78878,Y86101-V3090,,
78879,Y86101-V3100,,
78880,Y86101-V3110,,
78881,Y86101-V3120,,
78882,Y86101-V3130,,
78883,Y86101-V3150,,
78884,Y86101-V3160,,
78885,Y86101-V3180,,
78886,Y86101-V3200,,
78887,Y86101-V3220,,
78888,Y86101-V3240,,
78903,08663-18010-A,,
78904,08663-18020-A,,
78905,08663-00520-A,,
78906,08663-00530-A,,
78908,39164-TZA-G21,,
78946,86159-V2020-C-1,,
78947,86159-V2020-C-1,,
78948,86159-V2100-C-1,,
78949,86159-V2100-C-1,,
78953,YS39163-TYA-A510-M1,,
78989,86101-46630,,
78990,86101-46340,,
79002,Y86101-42P60-A,,
79003,Y86101-42W50,,
79004,Y86101-42Q20-A,,
79005,Y86101-42W40,,
79034,YS39164-THR-AA11-M1,,
79035,YS39164-THR-AF11-M1,,
79036,YS39164-THR-YC11-M1,,
79037,YS39825-THR-A011-M1,,
79038,YS39825-THR-A111-M1,,
79039,YS39825-THR-A211-M1,,
79040,YS39825-THR-A311-M1,,
79158,S39160-TXA-J020-M1-1,,
79159,S39160-TXA-J220-M1-1,,
79160,Y86101-46630,,
79161,Y86101-46340,,
79169,484120-10140-F,,
79170,484120-10160-E,,
79171,484120-10300-B,,
79172,484120-10360-C,,
79187,86705-V2070-A,,
79188,86705-V2080-A,,
79189,86159-V2250-A,,
79327,S39160-39J-J111-M1-2,,
79337,YS39164-3BM-A111-M1,,
79361,39164-3M0-G01,,
79362,39515-3M0-G01,,
79363,39878-3M0-J01,,
79471,C86681-11010-A-1,,
79523,39825-TZA-G01,,
79535,Y86159-V2250-A,,
79537,86300-11020-4,,
79538,86300-11030-4,,
79539,86300-33370-3,,
79540,L86300-33370-3,,
79541,86300-33380-3,,
79542,L86300-33380-3,,
79544,Y86300-33370-3,,
79545,Y86300-11020-4,,
79546,Y86300-11030-4,,
79547,Y86300-33380-3,,
79848,39515-3M0-J01,,
79849,39584-3M0-J01,,
79987,S39162-3BV-J010-Y1,,
79988,S39515-3BV-J011-Y1,,
79989,S39878-3BV-J010-Y1,,
79990,S39156-3BV-J010-M1,,
79991,S39156-3BV-N010-M1,,
79993,S39161-3BV-J010-M1,,
79999,86050-42110,,
91014,86050-42120-A,,
91074,86050-42130-A,,
91161,Y86050-42110,,
91162,Y86050-42120-A,,
91163,Y86050-42130-A,,
91228,S39156-TKR-N010-M1,,
91236,86101-4A250-A,,
91237,86101-4A330-A,,
91238,86101-4A270-A,,
91240,86101-4A290,,
91241,86101-4AB20,,
91242,86101-4AB50-A,,
91243,86101-4AC10,,
91244,86101-4AC20,,
91245,86101-4AC30,,
91246,86101-4AB60,,
91247,86101-4A400-A,,
91248,86101-4AB70-A,,
91249,86101-4AB80-A,,
91296,S39156-3BV-J011-M1,,
91297,S39156-3BV-N011-M1,,
91298,S39161-3BV-J011-M1,,
91361,86101-V3270-A,,
91362,86101-V3280-A,,
91366,Y86101-V3270-A,,
91367,Y86101-V3280-A,,
91384,86101-0G230-B,,
91388,S39160-3BV-J011-M1,,
91389,S39169-3BV-J011-M1,,
91390,S39160-3BV-J111-M1,,
91414,N6-28241 7UA1B-1,,
91534,YS39164-T90-Y410-M1,,
91539,Y86101-3TG90-A,,
91540,Y86101-3TJ00-A,,
91541,Y86101-3TJ10-A,,
91542,Y86101-3TJ21,,
91543,Y86101-3TJ30-A,,
91544,Y86101-3TJ41,,
91545,Y86101-3TJ50-A,,
91546,Y86101-3TJ60-A,,
91547,Y86101-3TJ71,,
91548,Y86101-3TJ80-A,,
91549,Y86101-3TJ91,,
91550,Y86101-3TL50-A,,
91551,Y86101-3TK00-B,,
91552,Y86101-3TK10-B,,
91553,Y86101-3TK20-B,,
91554,Y86101-3TK30-B,,
91555,Y86101-3TK40-B,,
91556,Y86101-3TK50-B,,
91557,Y86101-3TK60-B,,
91558,Y86101-3TL40-A,,
91559,Y86101-3TK70-B,,
91560,Y86101-3TK80-B,,
91561,Y86101-3TK90-B,,
91562,Y86101-3TL00-B,,
91563,Y86101-3TL10-B,,
91564,Y86101-3TL20-B,,
91565,Y86101-3TL30-B,,
91566,Y86101-3TL60-B,,
91567,Y86101-3TL70-B,,
91568,Y86101-3TL80-A,,
91599,86101-46700,,
91609,86101-3TG90-A,,
91610,86101-3TJ00-A,,
91611,86101-3TJ10-A,,
91612,86101-3TJ21,,
91613,86101-3TJ30-A,,
91614,86101-3TJ41,,
91615,86101-3TJ50-A,,
91616,86101-3TJ60-A,,
91617,86101-3TJ71,,
91618,86101-3TJ80-A,,
91619,86101-3TJ91,,
91620,86101-3TL50-A,,
91621,86101-3TK00-B,,
91622,86101-3TK10-B,,
91623,86101-3TK20-B,,
91624,86101-3TK30-B,,
91625,86101-3TK40-B,,
91626,86101-3TK50-B,,
91627,86101-3TK60-B,,
91628,86101-3TL40-A,,
91629,86101-3TK70-B,,
91630,86101-3TK80-B,,
91631,86101-3TK90-B,,
91632,86101-3TL00-B,,
91633,86101-3TL10-B,,
91634,86101-3TL20-B,,
91635,86101-3TL30-B,,
91636,86101-3TL60-B,,
91637,86101-3TL70-B,,
91638,86101-3TL80-A,,
91656,S39160-TKR-N011-M1,,
91674,S39160-3M0-JA11-M1,,
91696,S39161-3BW-Z010-M1,,
91697,S39161-3BW-Q010-M1,,
91701,S39836-3BW-J012-Y1,,
91712,Y86101-46700,,
91714,S39169-3M0-JA11-Y1,,
91715,S39168-3M0-JA10-Y1,,
91755,S39156-T82-J010-M1,,
91756,86101-46710,,
91757,86101-46720,,
91758,86101-46730,,
91759,86101-46740,,
91760,86101-42P50-B,,
91761,86101-4A260-B,,
91762,86101-4A300-B,,
91763,86101-4A310-B,,
91785,Y86101-46710,,
91786,Y86101-46720,,
91787,Y86101-46730,,
91788,Y86101-46740,,
91823,N6-28241 7UA0A-2,,
91824,N6-28241 7UA0B-2,,
91825,N6-28241 7UJ1A-2,,
91882,86101-42R70-D,,
91883,86101-42R80-B,,
91884,86101-42R90-D,,
91886,Y86101-42P50-B,,
91887,Y86101-4A260-B,,
91888,Y86101-4A300-B,,
91889,Y86101-4A310-B,,
91890,Y86101-4A250-A,,
91891,Y86101-4A330-A,,
91892,Y86101-4A270-A,,
91893,Y86101-4AB50-A,,
91894,Y86101-4A400-A,,
91895,Y86101-4AB70-A,,
91896,Y86101-4AB80-A,,
91897,Y86101-4A290,,
91898,Y86101-4AB20,,
91899,Y86101-4AC10,,
91900,Y86101-4AC20,,
91901,Y86101-4AC30,,
91902,Y86101-4AB60,,
91903,86101-42S00-D,,
91904,86101-42S10-D,,
91905,86101-42S40-D,,
91906,86101-42S50-D,,
91926,S39515-3BW-J011-Y1,,
91927,S39584-3BW-J011-Y1,,
92043,S39156-32J-J110-M1,,
92044,S39160-32J-J110-M1,,
92078,86101-42N60-B,,
92079,86101-42N80-B,,
92080,86101-42N90-B,,
92081,86101-42R30-B,,
92082,86101-42R00-B,,
92240,S39156-3BW-Z012-M1,,
92241,S39156-3BW-Q012-M1,,
92242,S39156-3BW-N012-M1,,
92243,S39161-3BW-N012-M1,,
92244,S39160-3BW-N112-M1,,
92284,Y86101-42R70-D,,
92285,Y86101-42R80-B,,
92286,Y86101-42R90-D,,
92287,Y86101-42N60-B,,
92288,Y86101-42N80-B,,
92289,Y86101-42N90-B,,
92290,Y86101-42R30-B,,
92291,Y86101-42R00-B,,
92292,Y86101-42S00-D,,
92293,Y86101-42S10-D,,
92294,Y86101-42S40-D,,
92295,Y86101-42S50-D,,
92296,Y86101-46420-D,,
92345,S39584-32R-JA10-Y1,,
92346,S39515-32R-J020-Y1,,
92380,Y86101-57030,,
92381,Y86101-57040-B,,
92454,S39161-3BW-N012-M1-1,,
92455,S39161-3BW-Z011-M1,,
92456,S39161-3BW-Q011-M1,,
92457,S39160-3BW-N112-M1-1,,
92459,86101-30U90,,
92486,S39156-3BW-N012-M1-1,,
92487,S39156-3BW-Q012-M1-1,,
92488,S39156-3BW-Z012-M1-1,,
92576,C86101-3TJ30-A,,
92578,C86101-3TL60-B,,
92579,C86101-3TL80-A,,
VC70000,86101-AN190,,
VC70001,86101-AN270,,
VC70002,86101-AN280,,
VC70014,86101-V3420,,
VC70016,86159-B1110,,
VC70023,S39584-32R-JA11-Y1,,
VC70029,S39160-TZB-J111-M1,,
VC70030,863D1-42040-A,,
VC70031,863D1-42020-A,,
VC70032,863D1-42090-A,,
VC70033,863D1-42010-A,,
VC70034,863D1-42030-A,,
VC70035,863D5-42060,,
VC70036,863D5-42020,,
VC70037,863D5-42040,,
VC70038,863D5-42080,,
VC70039,863D5-42100,,
VC70040,863D5-42030,,
VC70041,863D5-42070,,
VC70042,863D5-42110,,
VC70043,863D5-42090,,
VC70044,863D5-42050,,
VC70045,863D5-42010,,
VC70046,863D7-42040,,
VC70047,863D7-42010,,
VC70048,863D1-42200-A,,
VC70068,863D1-42050,,
VC70069,863D1-42080,,
VC70070,863D1-42060,,
VC70071,863D1-42070,,
VC70072,863D3-42010,,
VC70073,863D3-42020,,
VC70074,863D3-42040,,
VC70075,863D3-42050,,
VC70076,863D3-42060,,
VC70077,863D7-42030,,
VC70078,863D7-42050,,
VC70108,AG00D 73001S,,
VC70109,S39156-3BW-N012-M1-2,,
VC70110,S39156-3BW-Q012-M1-2,,
VC70111,S39156-3BW-Z012-M1-2,,
VC70115,N6-28241 7UA1B-2,,
VC70118,C86101-3TK20-C,,
VC70131,86681-33030-A,,
VC70132,L86681-33030-A,,
VC70133,863D5-42240,,
VC70137,86101-3TK00-C,,
VC70138,86101-3TK10-C,,
VC70139,86101-3TK20-C,,
VC70140,86101-3TK30-C,,
VC70141,86101-3TK40-C,,
VC70142,86101-3TK50-C,,
VC70143,86101-3TK60-C,,
50022,39835-T5A-J511-M1(51905HD26),,
50092,86860-B2160-K(YOP-5265DH14),,
50093,86860-B2170-J(YOP-5265DH15),,
50119,39835-T5R-A010-M1(5265HD142),,
50191,39582-TTA-J010-M1,,
50193,86860-90V010(YOP-5264AW01),,
50248,434831-0222(YOZ-51864DI01),,
50276,YOP-5270-FN01,,
50384,39835-TD4-J010-M1(51905HD34),,
50407,99411-00114(YOP-5264AW),,
50489,82715-11530,,
50494,868A0-58040-A,,
50496,39835-TZA-J010-M1(5265HD165),,
50520,86880-11020,,
50521,86860-11010-B-1,,
50522,86860-78010-C-2,,
50523,C86860-78010-C-2,,
50524,L86860-78010-C-2,,
50525,K86860-78010-C-2,,
50534,Y86860-11010-B-1,,
50535,Y86860-78010-C-2,,
50548,39582-TY0-J01,,
50551,Y868A0-58040-A,,
50589,39835-T5A-E01,,
50596,39835-TZA-J110-M1(50975HD20),,
50602,Y82715-11530,,
50633,Y86860-B2230-K,,
50650,39835-TZA-Z010-M1(5277HD04),,
50669,Y86880-11020,,
50681,L868A0-60060,,
50682,L868A0-60070,,
50693,8B500-3M0-J010-M1(52012HD14),,
50694,8B505-3M0-J010-M1(52018HD28),,
50695,8B580-3M0-J010-M1(50975HD19),,
50697,39510-TZA-E011-M1(52343HD01),,
50698,39510-TZA-E111-M1(52344HD01),,
50699,39510-TZA-G011-M1(52343HD02),,
50700,39510-TZA-G111-M1(52344HD02),,
50707,L868A0-60080,,
50708,L868A0-60090,,
50741,8B500-3M0-G010-M1(52012HD15),,
50742,8B505-3M0-G010-M1(52018HD33),,
50749,8B550-3M0-Q010-M1(5277HD14),,
50765,Y868A0-60060,,
50766,Y868A0-60070,,
50767,Y868A0-60080,,
50768,Y868A0-60090,,
50793,39835-TZA-J01,,
50799,Y86880-42010-A,,
50954,86860-11030,,
50961,86880-42010-A-1,,
50962,86880-42030-A-1,,
50963,C86880-42010-A-1,,
50964,C86880-42030-A-1,,
50965,L86880-42010-A-1,,
50966,L86880-42030-A-1,,
50974,39835-TD4-J01,,
50987,8B500-32R-J010-M1(52344HD04),,
50996,86860-90A020-A(YOP-5264-AW03),,
51120,462800-0840(YOP-5170DI47),,
51299,Y86880-42010-A-1,,
51339,Y86880-42030-A-1,,
51700,86880-11020-A,,
51707,Y86860-11030,,
51733,86860-B4010(YOP-5178DH01),,
51802,86860-B2060(YOP-5178DH03),,
51907,86860-B2070-A(YOP-5178DH04),,
52006,220040-0040(YOZ-50983DI04),,
52067,86860-60V160(YOP-5225AW02),,
52068,99014-00193(YOP-5100AW02),,
52080,86860-B2090-A(YOP-5178DH06),,
52204,86860-B1040-H(YOP-5178DH07),,
52422,414281-0010(YOP-5150DI21),,
52493,AU-15-1.0B,,
52513,86860-60V130,,
52533,462800-1462(YOP-5249DI19),,
52541,39583-SZT-J011-M1(51417HD12),,
52668,462800-1500(YOP-5249DI24),,
52735,86860-B1030,,
52742,86860-B2100-K,,
52743,86860-B2110-A,,
52822,462800-0701(YOP-5255DI33),,
52825,462800-0901(YOP-5255DI58),,
52830,462800-1040(YOP-5255DI78),,
52835,462800-1190(YOP-5255DI75),,
52836,462800-1201(YOP-5255DI76),,
52837,462800-1270(YOP-5255DI80),,
52838,462800-1280(YOP-5255DI79),,
52842,86860-B2130-A(YOP-5256DH11),,
52857,86860-B2140-A(YOP-5256DH12),,
52874,195000-02900700,,
52955,86800-60V120-B(YOP-5225AW04),,
52959,86860-B2150-J(YOP-5256DH13),,
52964,220081-0131,,
53011,195000-03200700,,
53248,39835-SZT-A011-M1(5265HD40),,
53382,39582-T4G-J010-M1(50975HD10),,
53419,86960-11010,,
53425,82715-11660,,
53426,Y82715-11660,,
53427,Y86960-11010,,
53428,86860-B2250(YOP-5265DH20),,
53433,86860-30320(YOP-5268TY07),,
53434,86860-30350(YOP-5268TY08),,
53436,K86860-76030(YOP-5268TY05),,
53437,Y86860-30320(YOP-5268TY07),,
53438,Y86860-30350(YOP-5268TY08),,
53440,Y86860-76030(YOP-5268TY05),,
53447,86860-B2230-K(YOP-5265-DH18),,
53458,86860-47100-A(YOP-5268TY06),,
53464,Y86860-47100-A(YOP-5268TY06),,
53469,868A0-26010(YOP-5275TY03),,
53470,868A0-58030-A-1,,
53484,L868A0-35010-A,,
53485,86880-52020,,
53486,L86880-52020,,
53487,K86880-52020,,
53492,Y868A0-35010-A,,
53493,Y86880-52020,,
53574,220081-0262,,
53576,220081-0321,,
53577,220081-0402,,
53578,220081-0412,,
53579,220081-0421,,
53580,220081-0432,,
53581,220081-0441,,
53582,220081-0081,,
53587,220081-0231,,
53588,220081-0271,,
53589,220081-0281,,
53590,220081-0291,,
53591,220081-0302,,
53592,220081-0331,,
53595,220081-0371,,
53596,220081-0381,,
53597,220081-0391,,
53598,220081-0471,,
53680,AU-15-5B,,
53689,157000-49700700(YOP-5264-FT03),,
53713,8B500-3BV-J010-M1(52344HD06),,
53714,AU-15-5S,,
53757,8B500-3BW-J010-M1(52794HD01),,
53758,8B500-3BW-T010-M1(52795HD01),,
53778,86760-77050,,
53779,220081-0450,,
53780,220081-0460,,
53782,YOZ-52683ZZ02-FN,,
53811,220081-0490,,
53822,220081-0500,,
53824,8B580-32R-J010-M1(50975HD26),,
79165,86325SL700,,
79313,87785AR000,,
79351,240P2 7TB1C,,
79352,240P2 7TB1D,,
79495,240P2 7UA0A,,
79496,240P2 7UA1A,,
79498,240P2 7UA9A,,
79871,240P2 7YA0A,,
79872,240P2 7YA0B,,
79873,240P2 7YA0C,,
79885,240P2 7LE0A,,
91395,963N4 7VG0A,,
91705,240P2 7TB1B-1,,
91706,240P2 7LE2B-2,,
92115,240P2 7TB5A-1,,
92214,877A4AR000-1,,
92215,877A4AR100-1,,
92217,877A4AR120-1,,
92219,877A4AR110-1,,
92220,87783AR000-1,,
92223,877A4AR020-2,,
92224,877A4AR120-2,,
92225,877A4AR010-2,,
92226,877A4AR110-2,,
92367,N6-240P2 7UA2A-1,,
VC80012,240P2 7LE0A,,
VC80017,240P2 7TB1B-1,,
VC80018,240P2 7TB1C,,
VC80019,240P2 7TB1D,,
23013,39250-76F20,,
24367,N281J072-5,,
24369,N281J072-6,,
24536,86310-97208-A,,
28341,N281J069-8,,
28344,N281J085-3,,
28345,N281J085-4,,
28418,39250-76F00,,
28576,N281J076-9,,
28577,N281J076-10,,
62190,8723A169-1,,
62710,8723A036-5,,
62711,8723A037-5,,
62712,Y8723A036-5,,
62713,Y8723A037-5,,
21284,86309-48040-A,,
21901,86300-47020-L,,
22020,86300-52370-B,,
22354,Y86300-47020-L,,
22455,Y86309-48040-A,,
22533,Y86300-52370-B,,
27719,39251-81J00,,
27864,39251-81JA0,,
28836,86300-B2120-C,,
28837,86300-B2140,,
61177,86300-B4080,,
61183,39253-81J03,,
61357,86300-71010-A,,
61358,86300-71020-A,,
61495,Y86300-71010-A,,
61496,Y86300-71020-A,,
61507,86300-B2200-D,,
61638,86300-B4061,,
61728,86300-B1041-A,,
61729,86300-B1061-A,,
61882,86300-B4012,,
61933,86300-B1080-K,,
62094,86300-B1051-A,,
62095,86300-B1071-A,,
62666,Y86300-12A60,,
62775,86309-42080-A,,
62776,86309-42070-A,,
62778,86309-47010-A,,
62783,Y86309-47010-A,,
62784,Y86309-68020-A,,
62786,Y86309-42070-A,,
62787,Y86309-42080-A,,
63084,39251-50M00,,
63156,86300-B1100-F,,
63157,86300-B1120-D,,
63179,86761-47010-1,,
63424,C86309-68020-A,,
63562,L86300-42200-A,,
63563,86300-74020-C,,
63565,86300-42170-A,,
63566,86300-42180-A,,
63567,86300-74010-C,,
63569,Y86300-68040-C,,
63571,Y86300-42190-A,,
63572,Y86300-42200-A,,
63573,Y86300-74020-C,,
63575,Y86300-42170-A,,
63576,Y86300-42180-A,,
63577,Y86300-74010-C,,
63652,86300-47051,,
63654,Y86300-47051,,
63655,Y86300-47061,,
63731,Y86300-68060-B,,
63765,86300-B2290-A,,
64103,M86309-68020-A,,
64104,86300-12A10-C,,
64105,86300-12A40-B,,
64107,Y86300-12A10-C,,
64108,Y86300-12A40-B,,
64146,86300-74011,,
64149,Y86300-74011,,
64150,Y86300-74021,,
64162,Y86300-47100-A-1,,
64290,86300-B2300-A,,
64291,86300-B2310-A,,
64428,Y86300-52530-C,,
64429,D86300-52530-C,,
64566,86300-71070,,
64567,86300-71080,,
64568,86300-71090,,
64583,86300-47080-A,,
64584,86300-47090-A,,
64587,86300-B2360-A,,
64588,86300-B2370-A,,
64620,39253-85K01,,
64621,39253-81JA2,,
64755,Y86300-47090-A,,
64756,Y86300-47080-A,,
64973,Y86300-71070,,
64974,Y86300-71080,,
64975,Y86300-71090,,
65000,86960-47031,,
65001,Y86960-47031,,
65002,86760-47031,,
65003,Y86760-47031,,
65045,86761-47011-A-1,,
65046,Y86761-47011-A-1,,
65074,Y86300-52510-D,,
65234,86860-36081,,
65235,Y86860-36081,,
65470,39251-81M00,,
65718,86300-68060-B,,
65719,86300-68040-C,,
65724,Y86769-53010,,
67141,86300-52590-A-1,,
67488,Y86300-12A90-A-1,,
67490,Y86300-12B00-A-3,,
67491,Y86300-47110-3,,
67492,Y86300-47120-1,,
67562,863C0-47030-A,,
67565,863C0-47040-A,,
67567,Y863C0-47030-A,,
67568,Y863C0-47040-A,,
67570,86300-47200-A-1,,
67571,Y86300-47200-A-1,,
67573,86309-47030,,
67598,86300-47110-3,,
67599,86300-47120-1,,
67601,86300-12B00-A-3,,
68344,Y86769-12010,,
68438,Y86769-33020,,
70296,86300-52520-C,,
70297,Y86300-52520-C,,
71421,86397-B1010,,
71654,86309-26020,,
71657,Y86309-26020,,
71663,39150-TXA-J010-M1-1,,
71935,39151-TTA-J210-M1,,
72540,86309-26030,,
73135,S39150-TKR-J010-M1-1,,
73141,86300-B2481,,
73224,86300-B1152-A,,
73225,86300-B1131-A,,
73228,86300-B2522-A,,
73296,86300-B2540-K,,
73895,S39150-TZA-J511-M1-1,,
73896,39150-TJL-J511-M1-1,,
74145,Y86309-26030,,
75061,Y86300-B1131-A,,
75062,Y86300-B1152-A,,
75063,Y86300-B2481,,
75065,Y86300-B2540-K,,
75264,86300-26210-B,,
75265,86300-26220-B,,
75266,86300-26240-A,,
75294,Y86300-26210-B,,
75295,Y86300-26220-B,,
75296,Y86300-26240-A,,
77265,S39150-TTA-J211-M1-1,,
77266,S39150-TXA-J210-M1-2,,
77267,S39150-TKR-J210-M1-2,,
77571,86300-B2340-1,,
77572,86300-B2350-1,,
78498,86300-B2310-A-1,,
78499,86300-B2300-A-1,,
79281,86300-52170-D,,
79282,Y86300-52170-D,,
79338,39253-50M01-1,,
79391,86300-B1190-1,,
79393,86300-B2550-K-1,,
79395,86300-B2120-C-1,,
79406,86300-B2220-K-1,,
79407,86300-B2240-K-1,,
79408,86300-B2280-A-1,,
79417,86300-B2531-1,,
79418,86300-B1131-A-1,,
79434,Y86300-B1131-A-1,,
79436,Y86300-B2531-1,,
79438,Y86300-B2550-K-1,,
79440,Y86300-B1190-1,,
91433,39253-74P02,,
91434,39253-74P13,,
91435,39253-62R13,,
91436,39253-63R01,,
91437,39253-81M03,,
65723,86769-53010,,
66354,86300-48360-A0-B,,
66355,86300-48360-B0-B,,
66357,86300-48360-C0-B,,
66358,86300-48360-C1-B,,
66359,86300-48360-D0-B,,
66360,86300-48360-E0-B,,
66361,86767-48010-A-BK,,
66390,Y86300-48360-A0-B,,
66391,Y86300-48360-B0-B,,
66393,Y86300-48360-C0-B,,
66394,Y86300-48360-C1-B,,
66395,Y86300-48360-D0-B,,
66396,Y86300-48360-E0-B,,
67100,86767-30010-A-BK,,8676730010BK0
67442,86300-12B30-A0,,
67443,86300-12B30-A1,,
67444,86300-12B30-B0,,
67445,86300-12B30-C0,,
67446,86300-12B30-D0,,
67447,86300-12B30-E0,,
67448,86300-12B30-G0,,
67450,86300-12B40-A0,,
67451,86300-12B40-A1,,
67452,86300-12B40-B0,,
67453,86300-12B40-C0,,
67454,86300-12B40-D0,,
67455,86300-12B40-E0,,
67456,86300-12B40-G0,,
67692,86300-12B30-J1,,
67693,86300-12B40-J1,,
67869,86960-47050,,
67915,K86760-33140-A,,
67916,K86760-33150-A,,
68024,Y86760-33140-A,,
68025,Y86760-33150-A,,
68266,86300-48360-C2-B,,
68293,Y86300-48360-C2-B,,
68336,86767-48020-BK,,
68343,86769-12010,,
